Torneo|Tipo|Superficie|Round|Número sets|Jugador1|Jugador2|Ganador|Marcadores
PBZ Zagreb Indoors|ATP250|Hard|2nd Round|3|Sijsling I.|Youzhny M.|Youzhny M.|3-6 2-6   
PBZ Zagreb Indoors|ATP250|Hard|2nd Round|3|Haase R.|Klizan M.|Haase R.|6-2 4-6 6-4  
PBZ Zagreb Indoors|ATP250|Hard|2nd Round|3|Devvarman S.|Melzer J.|Melzer J.|6-1 6-7 2-6  
PBZ Zagreb Indoors|ATP250|Hard|2nd Round|3|Kavcic B.|Baghdatis M.|Kavcic B.|3-6 7-6 6-4  
PBZ Zagreb Indoors|ATP250|Hard|2nd Round|3|Cipolla F.|Rosol L.|Rosol L.|4-6 6-2 3-6  
PBZ Zagreb Indoors|ATP250|Hard|2nd Round|3|Petzschner P.|Marcan D.|Petzschner P.|6-3 6-4   
PBZ Zagreb Indoors|ATP250|Hard|2nd Round|3|Zemlja G.|Cilic M.|Cilic M.|2-6 3-6   
PBZ Zagreb Indoors|ATP250|Hard|2nd Round|3|Dodig I.|Karlovic I.|Dodig I.|7-6 6-7 6-3  
PBZ Zagreb Indoors|ATP250|Hard|Quarterfinals|3|Rosol L.|Melzer J.|Melzer J.|4-6 4-6   
PBZ Zagreb Indoors|ATP250|Hard|Quarterfinals|3|Haase R.|Petzschner P.|Haase R.|6-4 3-6 6-0  
PBZ Zagreb Indoors|ATP250|Hard|Quarterfinals|3|Dodig I.|Youzhny M.|Youzhny M.|3-6 2-6   
PBZ Zagreb Indoors|ATP250|Hard|Quarterfinals|3|Cilic M.|Kavcic B.|Cilic M.|6-3 7-6   
PBZ Zagreb Indoors|ATP250|Hard|Semifinals|3|Haase R.|Melzer J.|Melzer J.|6-7 3-6   
PBZ Zagreb Indoors|ATP250|Hard|Semifinals|3|Cilic M.|Youzhny M.|Cilic M.|4-6 6-4 6-3  
PBZ Zagreb Indoors|ATP250|Hard|The Final|3|Melzer J.|Cilic M.|Cilic M.|3-6 1-6   
ABN AMRO World Tennis Tournament|ATP500|Hard|1st Round|3|Hanescu V.|Janowicz J.|Hanescu V.|7-6 6-3   
ABN AMRO World Tennis Tournament|ATP500|Hard|1st Round|3|Mathieu P.H.|Klizan M.|Klizan M.|4-6 6-3 5-7  
ABN AMRO World Tennis Tournament|ATP500|Hard|1st Round|3|Viola M.|Granollers M.|Viola M.|5-7 6-3 6-1  
ABN AMRO World Tennis Tournament|ATP500|Hard|1st Round|3|Brands D.|Simon G.|Simon G.|6-7 4-6   
ABN AMRO World Tennis Tournament|ATP500|Hard|1st Round|3|Dimitrov G.|Tomic B.|Dimitrov G.|6-3 3-6 6-3  
ABN AMRO World Tennis Tournament|ATP500|Hard|1st Round|3|Tsonga J.W.|Sijsling I.|Sijsling I.|6-7 6-4 4-6  
ABN AMRO World Tennis Tournament|ATP500|Hard|1st Round|3|Davydenko N.|Mayer F.|Davydenko N.|6-3 6-2   
ABN AMRO World Tennis Tournament|ATP500|Hard|1st Round|3|Youzhny M.|De Bakker T.|De Bakker T.|6-3 6-7 1-4  
ABN AMRO World Tennis Tournament|ATP500|Hard|1st Round|3|Benneteau J.|Kamke T.|Benneteau J.|6-3 6-2   
ABN AMRO World Tennis Tournament|ATP500|Hard|1st Round|3|Haase R.|Gulbis E.|Gulbis E.|2-6 1-6   
ABN AMRO World Tennis Tournament|ATP500|Hard|1st Round|3|Del Potro J.M.|Monfils G.|Del Potro J.M.|6-3 6-4   
ABN AMRO World Tennis Tournament|ATP500|Hard|1st Round|3|Goffin D.|Nieminen J.|Nieminen J.|0-6 0-6   
ABN AMRO World Tennis Tournament|ATP500|Hard|1st Round|3|Bachinger M.|Seppi A.|Bachinger M.|6-3 6-4   
ABN AMRO World Tennis Tournament|ATP500|Hard|1st Round|3|Troicki V.|Gasquet R.|Gasquet R.|6-7 1-6   
ABN AMRO World Tennis Tournament|ATP500|Hard|1st Round|3|Baghdatis M.|Paire B.|Baghdatis M.|6-0 6-7 4-0  
ABN AMRO World Tennis Tournament|ATP500|Hard|1st Round|3|Zemlja G.|Federer R.|Federer R.|3-6 1-6   
ABN AMRO World Tennis Tournament|ATP500|Hard|2nd Round|3|Simon G.|Viola M.|Simon G.|6-3 6-1   
ABN AMRO World Tennis Tournament|ATP500|Hard|2nd Round|3|Hanescu V.|Benneteau J.|Benneteau J.|1-6 3-6   
ABN AMRO World Tennis Tournament|ATP500|Hard|2nd Round|3|Dimitrov G.|Davydenko N.|Dimitrov G.|7-5 6-3   
ABN AMRO World Tennis Tournament|ATP500|Hard|2nd Round|3|Bachinger M.|Nieminen J.|Nieminen J.|3-6 7-5 3-6  
ABN AMRO World Tennis Tournament|ATP500|Hard|2nd Round|3|Baghdatis M.|Gasquet R.|Baghdatis M.|6-4 6-4   
ABN AMRO World Tennis Tournament|ATP500|Hard|2nd Round|3|Gulbis E.|Del Potro J.M.|Del Potro J.M.|6-7 3-6   
ABN AMRO World Tennis Tournament|ATP500|Hard|2nd Round|3|Federer R.|De Bakker T.|Federer R.|6-3 6-4   
ABN AMRO World Tennis Tournament|ATP500|Hard|2nd Round|3|Sijsling I.|Klizan M.|Klizan M.|2-6 4-6   
ABN AMRO World Tennis Tournament|ATP500|Hard|Quarterfinals|3|Dimitrov G.|Baghdatis M.|Dimitrov G.|6-7 7-6 6-3  
ABN AMRO World Tennis Tournament|ATP500|Hard|Quarterfinals|3|Nieminen J.|Del Potro J.M.|Del Potro J.M.|3-6 4-6   
ABN AMRO World Tennis Tournament|ATP500|Hard|Quarterfinals|3|Benneteau J.|Federer R.|Benneteau J.|6-3 7-5   
ABN AMRO World Tennis Tournament|ATP500|Hard|Quarterfinals|3|Klizan M.|Simon G.|Simon G.|7-6 3-6 0-3  
ABN AMRO World Tennis Tournament|ATP500|Hard|Semifinals|3|Del Potro J.M.|Dimitrov G.|Del Potro J.M.|6-4 6-4   
ABN AMRO World Tennis Tournament|ATP500|Hard|Semifinals|3|Simon G.|Benneteau J.|Benneteau J.|4-6 6-7   
ABN AMRO World Tennis Tournament|ATP500|Hard|The Final|3|Del Potro J.M.|Benneteau J.|Del Potro J.M.|7-6 6-3   
SAP Open|ATP250|Hard|1st Round|3|Soeda G.|Malisse X.|Malisse X.|4-6 6-3 3-6  
SAP Open|ATP250|Hard|1st Round|3|Levine J.|Klahn B.|Levine J.|7-5 6-2   
SAP Open|ATP250|Hard|1st Round|3|Donskoy E.|Pospisil V.|Pospisil V.|5-7 1-6   
SAP Open|ATP250|Hard|1st Round|3|Hewitt L.|Kavcic B.|Hewitt L.|3-6 6-4 7-6  
SAP Open|ATP250|Hard|1st Round|3|Harrison R.|Becker B.|Becker B.|7-6 5-7 3-6  
SAP Open|ATP250|Hard|1st Round|3|Matosevic M.|Sock J.|Matosevic M.|7-6 6-1   
SAP Open|ATP250|Hard|1st Round|3|Sweeting R.|Istomin D.|Istomin D.|3-6 4-6   
SAP Open|ATP250|Hard|1st Round|3|Smyczek T.|Verdasco F.|Smyczek T.|6-3 6-3   
SAP Open|ATP250|Hard|1st Round|3|Cipolla F.|Falla A.|Falla A.|6-7 6-7   
SAP Open|ATP250|Hard|1st Round|3|Ebden M.|De Voest R.|Ebden M.|6-2 7-5   
SAP Open|ATP250|Hard|1st Round|3|Young D.|Russell M.|Russell M.|3-6 5-7   
SAP Open|ATP250|Hard|1st Round|3|Johnson S.|Karlovic I.|Johnson S.|6-7 6-4 7-6  
SAP Open|ATP250|Hard|2nd Round|3|Pospisil V.|Isner J.|Isner J.|6-7 6-2 3-6  
SAP Open|ATP250|Hard|2nd Round|3|Haas T.|Levine J.|Haas T.|6-3 6-1   
SAP Open|ATP250|Hard|2nd Round|3|Becker B.|Istomin D.|Istomin D.|3-6 7-6 2-6  
SAP Open|ATP250|Hard|2nd Round|3|Falla A.|Matosevic M.|Falla A.|6-4 6-4   
SAP Open|ATP250|Hard|2nd Round|3|Ebden M.|Malisse X.|Malisse X.|7-5 5-7 6-7  
SAP Open|ATP250|Hard|2nd Round|3|Johnson S.|Smyczek T.|Johnson S.|6-3 6-3   
SAP Open|ATP250|Hard|2nd Round|3|Hewitt L.|Querrey S.|Querrey S.|6-7 6-1 6-7  
SAP Open|ATP250|Hard|2nd Round|3|Raonic M.|Russell M.|Raonic M.|6-2 7-5   
SAP Open|ATP250|Hard|Quarterfinals|3|Johnson S.|Haas T.|Haas T.|4-6 2-6   
SAP Open|ATP250|Hard|Quarterfinals|3|Isner J.|Malisse X.|Isner J.|7-6 6-2   
SAP Open|ATP250|Hard|Quarterfinals|3|Istomin D.|Raonic M.|Raonic M.|6-7 3-6   
SAP Open|ATP250|Hard|Quarterfinals|3|Querrey S.|Falla A.|Querrey S.|6-3 4-6 7-5  
SAP Open|ATP250|Hard|Semifinals|3|Isner J.|Haas T.|Haas T.|3-6 4-6   
SAP Open|ATP250|Hard|Semifinals|3|Raonic M.|Querrey S.|Raonic M.|6-4 6-2   
SAP Open|ATP250|Hard|The Final|3|Haas T.|Raonic M.|Raonic M.|4-6 3-6   
Brasil Open|ATP250|Clay|1st Round|3|Andujar P.|Giraldo S.|Andujar P.|6-4 7-6   
Brasil Open|ATP250|Clay|1st Round|3|Mello R.|Alund M.|Alund M.|4-6 4-6   
Brasil Open|ATP250|Clay|1st Round|3|Bolelli S.|Robredo T.|Bolelli S.|6-2 6-4   
Brasil Open|ATP250|Clay|1st Round|3|Fognini F.|Pella G.|Pella G.|6-7 6-1 1-6  
Brasil Open|ATP250|Clay|1st Round|3|Berlocq C.|Kuznetsov An.|Berlocq C.|6-3 6-4   
Brasil Open|ATP250|Clay|1st Round|3|Garcia-Lopez G.|Ramos A.|Ramos A.|3-6 5-7   
Brasil Open|ATP250|Clay|1st Round|3|Volandri F.|Gimeno-Traver D.|Volandri F.|6-3 3-6 7-6  
Brasil Open|ATP250|Clay|1st Round|3|Clezar G.|Bellucci T.|Bellucci T.|6-7 7-5 6-7  
Brasil Open|ATP250|Clay|1st Round|3|Montanes A.|Lorenzi P.|Montanes A.|6-4 6-4   
Brasil Open|ATP250|Clay|1st Round|3|Ramirez-Hidalgo R.|Souza J.|Souza J.|6-7    
Brasil Open|ATP250|Clay|1st Round|3|Capdeville P.|Zeballos H.|Capdeville P.|6-7 6-0 3-0  
Brasil Open|ATP250|Clay|1st Round|3|Aguilar J.|Nalbandian D.|Nalbandian D.|5-7 7-5 3-6  
Brasil Open|ATP250|Clay|2nd Round|3|Alund M.|Chardy J.|Alund M.|6-4 4-6 7-6  
Brasil Open|ATP250|Clay|2nd Round|3|Monaco J.|Bolelli S.|Bolelli S.|5-7 2-6   
Brasil Open|ATP250|Clay|2nd Round|3|Berlocq C.|Ramos A.|Berlocq C.|7-6 6-4   
Brasil Open|ATP250|Clay|2nd Round|3|Capdeville P.|Almagro N.|Almagro N.|4-6 7-6 2-6  
Brasil Open|ATP250|Clay|2nd Round|3|Montanes A.|Andujar P.|Montanes A.|7-5 6-2   
Brasil Open|ATP250|Clay|2nd Round|3|Bellucci T.|Volandri F.|Volandri F.|3-6 2-6   
Brasil Open|ATP250|Clay|2nd Round|3|Nalbandian D.|Pella G.|Nalbandian D.|6-4 6-2   
Brasil Open|ATP250|Clay|2nd Round|3|Souza J.|Nadal R.|Nadal R.|3-6 4-6   
Brasil Open|ATP250|Clay|Quarterfinals|3|Bolelli S.|Montanes A.|Bolelli S.|6-4 6-4   
Brasil Open|ATP250|Clay|Quarterfinals|3|Volandri F.|Alund M.|Alund M.|5-7 6-7   
Brasil Open|ATP250|Clay|Quarterfinals|3|Nalbandian D.|Almagro N.|Nalbandian D.|7-6 3-6 7-6  
Brasil Open|ATP250|Clay|Quarterfinals|3|Berlocq C.|Nadal R.|Nadal R.|6-3 4-6 4-6  
Brasil Open|ATP250|Clay|Semifinals|3|Nalbandian D.|Bolelli S.|Nalbandian D.|6-3 7-5   
Brasil Open|ATP250|Clay|Semifinals|3|Alund M.|Nadal R.|Nadal R.|3-6 7-6 1-6  
Brasil Open|ATP250|Clay|The Final|3|Nadal R.|Nalbandian D.|Nadal R.|6-2 6-3   
Copa Claro|ATP250|Clay|1st Round|3|Sousa J.|Delbonis F.|Delbonis F.|1-6 4-6   
Copa Claro|ATP250|Clay|1st Round|3|Schwartzman D.|Bellucci T.|Schwartzman D.|6-4 4-6 6-1  
Copa Claro|ATP250|Clay|1st Round|3|Cipolla F.|Ramos A.|Ramos A.|1-6 0-6   
Copa Claro|ATP250|Clay|1st Round|3|Bedene A.|Zeballos H.|Bedene A.|4-6 7-6 6-3  
Copa Claro|ATP250|Clay|1st Round|3|Pella G.|Almagro N.|Almagro N.|3-6 2-6   
Copa Claro|ATP250|Clay|1st Round|3|Robredo T.|Elias G.|Robredo T.|6-3 6-0   
Copa Claro|ATP250|Clay|1st Round|3|Alund M.|Reister J.|Reister J.|5-7 1-6   
Copa Claro|ATP250|Clay|1st Round|3|Kuznetsov An.|Volandri F.|Kuznetsov An.|7-6 6-3   
Copa Claro|ATP250|Clay|1st Round|3|Andujar P.|Montanes A.|Montanes A.|7-5 2-6 4-6  
Copa Claro|ATP250|Clay|1st Round|3|Mayer L.|Bolelli S.|Mayer L.|5-7 6-2 6-3  
Copa Claro|ATP250|Clay|1st Round|3|Lajovic D.|Gimeno-Traver D.|Gimeno-Traver D.|4-6 5-7   
Copa Claro|ATP250|Clay|1st Round|3|Wawrinka S.|Lorenzi P.|Wawrinka S.|6-3 6-3   
Copa Claro|ATP250|Clay|1st Round|3|Velotti A.|Ferrer D.|Ferrer D.|4-6 1-6   
Copa Claro|ATP250|Clay|1st Round|3|Fognini F.|Garcia-Lopez G.|Fognini F.|7-5 6-3   
Copa Claro|ATP250|Clay|1st Round|3|Berlocq C.|Nalbandian D.|Nalbandian D.|3-6 6-2 3-6  
Copa Claro|ATP250|Clay|2nd Round|3|Almagro N.|Kuznetsov An.|Almagro N.|7-6 6-2   
Copa Claro|ATP250|Clay|2nd Round|3|Montanes A.|Delbonis F.|Delbonis F.|1-6 4-6   
Copa Claro|ATP250|Clay|2nd Round|3|Reister J.|Bedene A.|Reister J.|6-1 1-6 6-2  
Copa Claro|ATP250|Clay|2nd Round|3|Trungelliti M.|Fognini F.|Fognini F.|5-7 2-6   
Copa Claro|ATP250|Clay|2nd Round|3|Ramos A.|Mayer L.|Ramos A.|6-3 7-6   
Copa Claro|ATP250|Clay|2nd Round|3|Schwartzman D.|Robredo T.|Robredo T.|3-6 1-6   
Copa Claro|ATP250|Clay|2nd Round|3|Ferrer D.|Nalbandian D.|Ferrer D.|2-6 6-4 6-0  
Copa Claro|ATP250|Clay|2nd Round|3|Gimeno-Traver D.|Wawrinka S.|Wawrinka S.|1-6 4-6   
Copa Claro|ATP250|Clay|Quarterfinals|3|Robredo T.|Reister J.|Robredo T.|6-3 6-2   
Copa Claro|ATP250|Clay|Quarterfinals|3|Fognini F.|Ferrer D.|Ferrer D.|2-6 1-6   
Copa Claro|ATP250|Clay|Quarterfinals|3|Wawrinka S.|Ramos A.|Wawrinka S.|7-6 6-4   
Copa Claro|ATP250|Clay|Quarterfinals|3|Delbonis F.|Almagro N.|Almagro N.|1-6 6-7   
Copa Claro|ATP250|Clay|Semifinals|3|Ferrer D.|Robredo T.|Ferrer D.|6-3 6-2   
Copa Claro|ATP250|Clay|Semifinals|3|Almagro N.|Wawrinka S.|Wawrinka S.|3-6 5-7   
Copa Claro|ATP250|Clay|The Final|3|Ferrer D.|Wawrinka S.|Ferrer D.|6-4 3-6 6-1  
Open 13|ATP250|Hard|1st Round|3|Rosol L.|Janowicz J.|Janowicz J.|2-6 4-6   
Open 13|ATP250|Hard|1st Round|3|Tomic B.|Klizan M.|Tomic B.|4-6 6-3 7-6  
Open 13|ATP250|Hard|1st Round|3|Paire B.|Devvarman S.|Devvarman S.|6-7 7-6 4-6  
Open 13|ATP250|Hard|1st Round|3|Davydenko N.|Stakhovsky S.|Davydenko N.|6-2 4-6 6-2  
Open 13|ATP250|Hard|1st Round|3|Goffin D.|Llodra M.|Llodra M.|2-6 4-6   
Open 13|ATP250|Hard|1st Round|3|Bautista R.|Krajinovic F.|Bautista R.|4-6 7-6 6-0  
Open 13|ATP250|Hard|1st Round|3|Nieminen J.|Gulbis E.|Gulbis E.|3-6 2-6   
Open 13|ATP250|Hard|1st Round|3|Muller G.|Gasquet R.|Muller G.|2-6 6-4 7-6  
Open 13|ATP250|Hard|1st Round|3|Monfils G.|Granollers M.|Granollers M.|4-6 4-6   
Open 13|ATP250|Hard|1st Round|3|Benneteau J.|Pouille L.|Benneteau J.|7-6 6-3   
Open 13|ATP250|Hard|1st Round|3|Roger-Vasselin E.|Tursunov D.|Tursunov D.|5-7 3-6   
Open 13|ATP250|Hard|1st Round|3|Simon G.|Haase R.|Simon G.|7-5 7-5   
Open 13|ATP250|Hard|2nd Round|3|Devvarman S.|Tomic B.|Tomic B.|3-6 5-7   
Open 13|ATP250|Hard|2nd Round|3|Berdych T.|Gulbis E.|Berdych T.|6-4 6-7 6-4  
Open 13|ATP250|Hard|2nd Round|3|Davydenko N.|Tsonga J.W.|Tsonga J.W.|6-7 3-6   
Open 13|ATP250|Hard|2nd Round|3|Muller G.|Granollers M.|Muller G.|7-6 7-6   
Open 13|ATP250|Hard|2nd Round|3|Tipsarevic J.|Tursunov D.|Tursunov D.|6-7 2-6   
Open 13|ATP250|Hard|2nd Round|3|Simon G.|Bautista R.|Simon G.|6-3 6-1   
Open 13|ATP250|Hard|2nd Round|3|Llodra M.|Del Potro J.M.|Del Potro J.M.|6-3 6-7 5-7  
Open 13|ATP250|Hard|2nd Round|3|Janowicz J.|Benneteau J.|Janowicz J.|7-6 6-3   
Open 13|ATP250|Hard|Quarterfinals|3|Muller G.|Tursunov D.|Tursunov D.|6-7 6-1 5-7  
Open 13|ATP250|Hard|Quarterfinals|3|Tsonga J.W.|Tomic B.|Tsonga J.W.|4-6 6-3 7-6  
Open 13|ATP250|Hard|Quarterfinals|3|Janowicz J.|Berdych T.|Berdych T.|3-6 7-6 3-6  
Open 13|ATP250|Hard|Quarterfinals|3|Simon G.|Del Potro J.M.|Simon G.|6-4 6-3   
Open 13|ATP250|Hard|Semifinals|3|Tursunov D.|Berdych T.|Berdych T.|2-6 1-6   
Open 13|ATP250|Hard|Semifinals|3|Tsonga J.W.|Simon G.|Tsonga J.W.|6-2 6-2   
Open 13|ATP250|Hard|The Final|3|Berdych T.|Tsonga J.W.|Tsonga J.W.|6-3 6-7 4-6  
U.S. National Indoor Tennis Championships|ATP500|Hard|1st Round|3|Kubot L.|Harrison R.|Kubot L.|6-4 6-7 7-6  
U.S. National Indoor Tennis Championships|ATP500|Hard|1st Round|3|Dodig I.|Cilic M.|Cilic M.|6-4 2-6 3-6  
U.S. National Indoor Tennis Championships|ATP500|Hard|1st Round|3|Williams R.|Johnson S.|Williams R.|7-6 6-4   
U.S. National Indoor Tennis Championships|ATP500|Hard|1st Round|3|Bogomolov A.|Russell M.|Russell M.|2-6 4-6   
U.S. National Indoor Tennis Championships|ATP500|Hard|1st Round|3|Sijsling I.|Melzer J.|Sijsling I.|6-4 7-6   
U.S. National Indoor Tennis Championships|ATP500|Hard|1st Round|3|Mayer F.|Blake J.|Blake J.|6-4 3-6 2-6  
U.S. National Indoor Tennis Championships|ATP500|Hard|1st Round|3|Querrey S.|Falla A.|Querrey S.|6-3 6-3   
U.S. National Indoor Tennis Championships|ATP500|Hard|1st Round|3|Becker B.|Lopez F.|Lopez F.|6-4 3-6 4-6  
U.S. National Indoor Tennis Championships|ATP500|Hard|1st Round|3|Istomin D.|Isner J.|Istomin D.|6-4 6-3   
U.S. National Indoor Tennis Championships|ATP500|Hard|1st Round|3|Marchenko I.|Nishikori K.|Nishikori K.|4-6 5-7   
U.S. National Indoor Tennis Championships|ATP500|Hard|1st Round|3|Hewitt L.|Lu Y.H.|Hewitt L.|2-6 7-6 6-4  
U.S. National Indoor Tennis Championships|ATP500|Hard|1st Round|3|Malisse X.|Young D.|Young D.|1-5    
U.S. National Indoor Tennis Championships|ATP500|Hard|1st Round|3|Haas T.|Donskoy E.|Haas T.|7-6 6-4   
U.S. National Indoor Tennis Championships|ATP500|Hard|1st Round|3|Soeda G.|Matosevic M.|Matosevic M.|6-7 4-6   
U.S. National Indoor Tennis Championships|ATP500|Hard|1st Round|3|Dolgopolov O.|Phau B.|Dolgopolov O.|6-3 6-4   
U.S. National Indoor Tennis Championships|ATP500|Hard|1st Round|3|Raonic M.|Sock J.|Sock J.|3-6 7-5 5-7  
U.S. National Indoor Tennis Championships|ATP500|Hard|2nd Round|3|Russell M.|Kubot L.|Russell M.|6-2 6-4   
U.S. National Indoor Tennis Championships|ATP500|Hard|2nd Round|3|Hewitt L.|Istomin D.|Istomin D.|1-6 2-6   
U.S. National Indoor Tennis Championships|ATP500|Hard|2nd Round|3|Dolgopolov O.|Williams R.|Dolgopolov O.|6-4 4-6 6-4  
U.S. National Indoor Tennis Championships|ATP500|Hard|2nd Round|3|Sijsling I.|Cilic M.|Cilic M.|6-7 6-3 6-7  
U.S. National Indoor Tennis Championships|ATP500|Hard|2nd Round|3|Nishikori K.|Young D.|Nishikori K.|6-3 6-3   
U.S. National Indoor Tennis Championships|ATP500|Hard|2nd Round|3|Querrey S.|Matosevic M.|Matosevic M.|6-3 4-6 5-7  
U.S. National Indoor Tennis Championships|ATP500|Hard|2nd Round|3|Sock J.|Blake J.|Sock J.|7-5 6-4   
U.S. National Indoor Tennis Championships|ATP500|Hard|2nd Round|3|Haas T.|Lopez F.|Lopez F.|    
U.S. National Indoor Tennis Championships|ATP500|Hard|Quarterfinals|3|Nishikori K.|Cilic M.|Nishikori K.|6-4 6-2   
U.S. National Indoor Tennis Championships|ATP500|Hard|Quarterfinals|3|Dolgopolov O.|Matosevic M.|Matosevic M.|7-6 2-6 4-6  
U.S. National Indoor Tennis Championships|ATP500|Hard|Quarterfinals|3|Lopez F.|Sock J.|Lopez F.|6-4 6-3   
U.S. National Indoor Tennis Championships|ATP500|Hard|Quarterfinals|3|Russell M.|Istomin D.|Istomin D.|4-6 6-7   
U.S. National Indoor Tennis Championships|ATP500|Hard|Semifinals|3|Nishikori K.|Matosevic M.|Nishikori K.|6-4    
U.S. National Indoor Tennis Championships|ATP500|Hard|Semifinals|3|Istomin D.|Lopez F.|Lopez F.|2-6 6-3 3-6  
U.S. National Indoor Tennis Championships|ATP500|Hard|The Final|3|Nishikori K.|Lopez F.|Nishikori K.|6-2 6-3   
Abierto Mexicano|ATP500|Clay|1st Round|3|Garza D.|Alund M.|Alund M.|6-7 5-7   
Abierto Mexicano|ATP500|Clay|1st Round|3|Andujar P.|Lajovic D.|Andujar P.|3-6 7-5 6-2  
Abierto Mexicano|ATP500|Clay|1st Round|3|Melzer J.|Sousa J.|Sousa J.|4-6 3-6   
Abierto Mexicano|ATP500|Clay|1st Round|3|Giraldo S.|Ramirez-Hidalgo R.|Giraldo S.|4-6 6-4 6-4  
Abierto Mexicano|ATP500|Clay|1st Round|3|Reyes-Varela M.A.|Mayer L.|Mayer L.|0-6 6-7   
Abierto Mexicano|ATP500|Clay|1st Round|3|Gimeno-Traver D.|Berlocq C.|Gimeno-Traver D.|6-3 6-2   
Abierto Mexicano|ATP500|Clay|1st Round|3|Ramirez C.|Almagro N.|Almagro N.|0-6 1-6   
Abierto Mexicano|ATP500|Clay|1st Round|3|Odesnik W.|Kubot L.|Odesnik W.|6-3 6-4   
Abierto Mexicano|ATP500|Clay|1st Round|3|Volandri F.|Robredo T.|Robredo T.|2-6 6-2 4-6  
Abierto Mexicano|ATP500|Clay|1st Round|3|Lorenzi P.|Paire B.|Lorenzi P.|4-6 6-3 6-4  
Abierto Mexicano|ATP500|Clay|1st Round|3|Veic A.|Ferrer D.|Ferrer D.|0-6 3-6   
Abierto Mexicano|ATP500|Clay|1st Round|3|Fognini F.|Wawrinka S.|Fognini F.|6-2 7-6   
Abierto Mexicano|ATP500|Clay|1st Round|3|Bellucci T.|Kuznetsov An.|Kuznetsov An.|6-4 4-6 4-6  
Abierto Mexicano|ATP500|Clay|1st Round|3|Zeballos H.|Bolelli S.|Zeballos H.|7-5 6-1   
Abierto Mexicano|ATP500|Clay|1st Round|3|Schwartzman D.|Nadal R.|Nadal R.|2-6 2-6   
Abierto Mexicano|ATP500|Clay|1st Round|3|Bedene A.|Nalbandian D.|Bedene A.|4-6 6-0 6-4  
Abierto Mexicano|ATP500|Clay|2nd Round|3|Sousa J.|Giraldo S.|Giraldo S.|6-7 5-7   
Abierto Mexicano|ATP500|Clay|2nd Round|3|Zeballos H.|Gimeno-Traver D.|Zeballos H.|6-2 6-3   
Abierto Mexicano|ATP500|Clay|2nd Round|3|Bedene A.|Fognini F.|Fognini F.|6-2 4-6 6-7  
Abierto Mexicano|ATP500|Clay|2nd Round|3|Ferrer D.|Odesnik W.|Ferrer D.|6-2 6-1   
Abierto Mexicano|ATP500|Clay|2nd Round|3|Kuznetsov An.|Mayer L.|Mayer L.|2-6 2-6   
Abierto Mexicano|ATP500|Clay|2nd Round|3|Lorenzi P.|Andujar P.|Lorenzi P.|6-4 6-3   
Abierto Mexicano|ATP500|Clay|2nd Round|3|Alund M.|Nadal R.|Nadal R.|0-6 4-6   
Abierto Mexicano|ATP500|Clay|2nd Round|3|Almagro N.|Robredo T.|Almagro N.|6-4 7-6   
Abierto Mexicano|ATP500|Clay|Quarterfinals|3|Lorenzi P.|Ferrer D.|Ferrer D.|3-6 1-6   
Abierto Mexicano|ATP500|Clay|Quarterfinals|3|Fognini F.|Giraldo S.|Fognini F.|7-5 6-4   
Abierto Mexicano|ATP500|Clay|Quarterfinals|3|Zeballos H.|Almagro N.|Almagro N.|3-6 4-6   
Abierto Mexicano|ATP500|Clay|Quarterfinals|3|Nadal R.|Mayer L.|Nadal R.|6-1 7-5   
Abierto Mexicano|ATP500|Clay|Semifinals|3|Fognini F.|Ferrer D.|Ferrer D.|3-6 7-6 1-6  
Abierto Mexicano|ATP500|Clay|Semifinals|3|Nadal R.|Almagro N.|Nadal R.|7-5 6-4   
Abierto Mexicano|ATP500|Clay|The Final|3|Ferrer D.|Nadal R.|Nadal R.|0-6 2-6   
International Championships|ATP250|Hard|1st Round|3|Donskoy E.|Darcis S.|Donskoy E.|7-6 6-3   
International Championships|ATP250|Hard|1st Round|3|Falla A.|Malisse X.|Malisse X.|3-6 3-6   
International Championships|ATP250|Hard|1st Round|3|Dodig I.|Dolgopolov O.|Dodig I.|6-3 6-3   
International Championships|ATP250|Hard|1st Round|3|Russell M.|Querrey S.|Querrey S.|2-6 2-2   
International Championships|ATP250|Hard|1st Round|3|Munoz-De La Nava D.|Harrison R.|Munoz-De La Nava D.|6-2 1-6 6-3  
International Championships|ATP250|Hard|1st Round|3|Cipolla F.|Roger-Vasselin E.|Roger-Vasselin E.|1-6 4-6   
International Championships|ATP250|Hard|1st Round|3|Istomin D.|Becker B.|Istomin D.|6-7 6-4 7-5  
International Championships|ATP250|Hard|1st Round|3|Blake J.|Gulbis E.|Gulbis E.|1-6 4-6   
International Championships|ATP250|Hard|1st Round|3|Sock J.|Ebden M.|Sock J.|6-3 6-3   
International Championships|ATP250|Hard|1st Round|3|Reynolds B.|Lu Y.H.|Lu Y.H.|3-6 5-7   
International Championships|ATP250|Hard|1st Round|3|Berankis R.|Phau B.|Berankis R.|6-1 7-6   
International Championships|ATP250|Hard|1st Round|3|Sijsling I.|Haas T.|Haas T.|7-5 4-6   
International Championships|ATP250|Hard|1st Round|3|Soeda G.|Matosevic M.|Soeda G.|2-6 6-4 7-6  
International Championships|ATP250|Hard|1st Round|3|Smyczek T.|Anderson K.|Anderson K.|3-6 4-6   
International Championships|ATP250|Hard|1st Round|3|Karlovic I.|Nishikori K.|Karlovic I.|5-4    
